hobby_id,hobby,tags,difficulty_level,cost,time_requirement,physical_activity_level,sociability,location,age_group,equipment_needed
1,3D Printing,"technology,crafting,creative",advanced,High,Monthly,Low,Individual,Indoor,Adults,High
2,Acroyoga,"fitness,flexibility,partner",Intermediate,Low,Weekly,High,Group,Indoor,Teens,Low
3,Amateur Astronomy,"scientific,outdoor,educational",Intermediate,Medium,Monthly,Low,Individual,Outdoor,All Ages,Medium
4,Amateur Radio,"technology,communication,fun",Intermediate,Medium,Weekly,Low,Mixed,Indoor,Adults,Medium
5,Amateur Theater,"performing,acting,creative",Intermediate,Low,Weekly,Medium,Group,Indoor,Adults,Low
6,Archery,"outdoor,precision,focus",Intermediate,Medium,Weekly,Medium,Individual,Outdoor,Teens,Medium
7,Astrophotography,"creative,scientific,technology",Advanced,High,Monthly,Low,Individual,Outdoor,Adults,High
8,Backpacking,"outdoor,adventure,exploration",Intermediate,Medium,Monthly,High,Group,Outdoor,Adults,Medium
9,Baking,"culinary,creative,delicious",Beginner,Medium,Weekly,Low,Individual,Indoor,All Ages,Medium
10,Beekeeping,"outdoor,nature,ecological",Intermediate,Medium,Monthly,Low,Individual,Outdoor,Adults,High
11,Birdwatching,"outdoor,nature,relaxing",Beginner,Low,Weekly,Low,Individual,Outdoor,Adults,Low
12,Board Games,"social,strategic,fun",Beginner,Low,Weekly,Low,Group,Indoor,All Ages,Low
13,Bowling,"recreational,social,sport",Beginner,Low,Monthly,Medium,Group,Indoor,All Ages,Low
14,Calligraphy,"creative,artistic,craft",Intermediate,Low,Weekly,Low,Individual,Indoor,Adults,Low
15,Car Restoration,"mechanical,creative,engineering",Advanced,High,Monthly,Low,Individual,Indoor,Adults,High
16,Carpentry,"crafting,handicraft,construction",Intermediate,Medium,Weekly,Medium,Individual,Indoor,Adults,High
17,Chess,"strategic,intellectual,game",Intermediate,Low,Weekly,Low,Group,Indoor,Teens,Low
18,Coin Collecting,"historical,educational,relaxing",Beginner,Low,Monthly,Low,Individual,Indoor,Adults,Low
19,Cooking,"culinary,creative,practical",Beginner,Medium,Daily,Low,Mixed,Indoor,All Ages,Medium
20,CrossFit,"fitness,strength,cardio",Advanced,Medium,Weekly,High,Group,Indoor,Adults,Medium
21,Crossword Puzzles,"puzzle,intellectual,solitary",Beginner,Low,Daily,Low,Individual,Indoor,Adults,Low
22,Cycling,"outdoor,fitness,cardio",Beginner,Medium,Weekly,Medium,Individual,Outdoor,All Ages,Medium
23,Dancing,"artistic,expressive,fitness",Beginner,Low,Weekly,High,Group,Indoor,All Ages,Low
24,Digital Art,"artistic,technology,creative",Intermediate,Medium,Weekly,Low,Individual,Indoor,All Ages,Medium
25,DJing,"musical,creative,performing",Advanced,High,Weekly,Low,Individual,Indoor,Teens,High
26,Drawing,"artistic,creative,visual",Beginner,Low,Weekly,Low,Individual,Indoor,All Ages,Low
27,Drone Flying,"technology,outdoor,remote control",Intermediate,Medium,Monthly,Low,Individual,Outdoor,Adults,High
28,Embroidery,"crafting,creative,decorative",Intermediate,Low,Weekly,Low,Individual,Indoor,Adults,Low
29,Fencing,"sport,fitness,competitive",Intermediate,Medium,Weekly,High,Group,Indoor,Teens,Medium
30,Fishing,"outdoor,relaxing,patient",Beginner,Low,Monthly,Low,Individual,Outdoor,Adults,Medium
31,Fitness Gaming,"technology,fitness,gaming",Beginner,Medium,Weekly,Medium,Group,Indoor,All Ages,Medium
32,Flower Arranging,"artistic,decorative,craft",Beginner,Low,Monthly,Low,Individual,Indoor,Adults,Low
33,Fly Tying,"crafting,creative,fishing",Intermediate,Medium,Monthly,Low,Individual,Indoor,Adults,Medium
34,Gardening,"outdoor,relaxing,nature",Beginner,Low,Weekly,Medium,Individual,Outdoor,Adults,Medium
