goal_id,goal_title,goal_name,description,category,difficulty_level,typical_duration,tags
1,Grade Booster,Improve GPA,Work towards raising overall academic performance,Academic,Medium,3 months,"study,grades,academic"
2,Master's Foundation,Master a specific subject,Become proficient in a particular course or subject area,Academic,Medium,3 months,"learning,subject mastery,academic"
3,Study Squad Captain,Develop better study habits,Create and maintain effective study routines,Academic,Easy,1 month,"productivity,study skills,habits"
4,Thesis Titan,Complete thesis/capstone project,Successfully finish final year research or project,Academic,Hard,1 year,"research,writing,project management"
5,Code Commander,Learn a new programming language,Gain proficiency in coding with a new language,Academic,Medium,3 months,"coding,technology,skills"
6,Dean's List Achiever,Achieve dean's list,Earn recognition for academic excellence,Academic,Hard,3 months,"academic,achievement,grades"
7,Attendance Hero,Attend all classes,Maintain perfect attendance,Academic,Easy,3 months,"discipline,academic,commitment"
8,Bookworm Challenge,Read more books,Expand knowledge through regular reading,Academic,Easy,3 months,"reading,learning,knowledge"
9,Time Master,Improve time management,Better organize academic and personal time,Academic,Medium,3 months,"productivity,organization,skills"
10,Study Partner Pro,Join study group,Collaborate with peers for academic success,Academic,Easy,3 months,"study,collaboration,academic"
11,Conference Presenter,Present at conference,Share research or project at academic event,Academic,Hard,1 year,"research,presentation,achievement"
12,Honor Society Member,Join academic honor society,Earn membership in scholastic organization,Academic,Medium,3 months,"achievement,academic,recognition"
13,MOOC Completer,Complete online course,Finish MOOC or additional learning program,Academic,Medium,3 months,"learning,skills,education"
14,Internship Hunter,Secure an internship,Find and obtain relevant work experience,Career,Medium,3 months,"career,internship,professional"
15,Portfolio Builder,Build a professional portfolio,Create showcase of work and achievements,Career,Medium,6 months,"career,portfolio,professional"
16,Workshop Warrior,Attend career workshops,Participate in professional development events,Career,Easy,3 months,"career,learning,professional"
17,Resume Revamp,Update resume and LinkedIn,Improve professional online presence,Career,Easy,1 week,"career,branding,professional"
18,Interview Master,Learn interview skills,Practice and improve interview techniques,Career,Medium,1 month,"career,skills,professional"
19,Career Explorer,Identify career path,Explore and decide on professional direction,Career,Medium,3 months,"career,exploration,planning"
20,Skill-Up Scholar,Develop technical skills,Learn job-specific tools or software,Career,Medium,6 months,"skills,career,technology"
21,Mentee Match,Find a mentor,Connect with professional for guidance,Career,Medium,3 months,"mentorship,career,networking"
22,Network Newbie,Attend networking events,Participate in career fairs and mixers,Career,Easy,3 months,"networking,career,professional"
23,Certified Pro,Complete online certification,Earn credential in relevant field,Career,Medium,3 months,"education,certification,career"
24,Volunteer Champion,Volunteer regularly,Contribute time to community service,Community,Medium,3 months,"volunteering,community,service"
25,Event Organizer,Organize campus event,Plan and execute student activity,Community,Hard,3 months,"leadership,event planning,community"
26,Peer Mentor,Mentor younger students,Provide guidance to underclassmen,Community,Medium,3 months,"mentorship,leadership,service"
27,Eco Warrior,Join environmental initiative,Participate in sustainability efforts,Community,Easy,3 months,"environment,activism,community"
28,Club Founder,Start a student organization,Create new campus group or club,Community,Hard,1 year,"leadership,community,organization"
29,Blood Donor,Participate in blood drive,Donate blood regularly,Community,Easy,3 months,"community,service,health"
30,Local Supporter,Support local businesses,Shop and eat locally when possible,Community,Easy,Ongoing,"community,local,support"
31,Culture Connector,Join cultural organization,Connect with cultural or ethnic student groups,Community,Easy,3 months,"culture,community,identity"
32,Cause Advocate,Raise awareness for cause,Advocate for important issue,Community,Medium,3 months,"activism,advocacy,community"
33,Campus Connector,Build campus connections,Get to know professors and staff,Community,Easy,3 months,"networking,relationships,academic"
34,Music Maker,Learn a musical instrument,Develop musical skills and practice regularly,Creative,Hard,1 year,"music,creativity,skills"
35,Project Lead,Start a creative project,Begin blog podcast art series etc.,Creative,Medium,6 months,"creativity,project,expression"
36,Word Wizard,Improve writing skills,Enhance creative or academic writing,Creative,Medium,6 months,"writing,creativity,skills"
37,Lens Master,Learn photography,Develop photography skills and techniques,Creative,Medium,6 months,"photography,creativity,art"
38,Stage Star,Join a performance group,Participate in dance theater or music ensemble.,Creative,Medium,3 months,"performance,creativity,social"
39,Art Adventurer,Start painting or drawing,Develop visual art skills,Creative,Medium,6 months,"art,creativity,skills"
40,Video Virtuoso,Learn video editing,Develop multimedia creation skills,Creative,Medium,3 months,"technology,creativity,skills"
41,Story Teller,Write a short story or novel,Complete creative writing project,Creative,Hard,1 year,"writing,creativity,project"
42,Web Designer,Design personal website,Create online portfolio or blog,Creative,Medium,1 month,"technology,creativity,branding"
43,Design Apprentice,Learn graphic design,Develop design skills and software knowledge,Creative,Medium,6 months,"design,creativity,technology"
